Reading timing models for corner nom_tt_025C_1v80…
Reading timing library for the 'nom_tt_025C_1v80' corner at '/home/srijitsengupta/.volare/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib'…
Reading timing models for corner nom_ff_n40C_1v95…
Reading timing library for the 'nom_ff_n40C_1v95' corner at '/home/srijitsengupta/.volare/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib'…
Reading timing models for corner nom_ss_100C_1v60…
Reading timing library for the 'nom_ss_100C_1v60' corner at '/home/srijitsengupta/.volare/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib'…
Reading OpenROAD database at '/home/srijitsengupta/rv32i_dsp_soc/openlane/runs/RUN_2026-07-27_08-13-02/34-openroad-cts/soc_top.odb'…
Reading design constraints file at '/nix/store/ss2cw3sxbrwwx9jl0rrppbw4kgcmgi2n-python3-3.11.9-env/lib/python3.11/site-packages/openlane/scripts/base.sdc'…
[INFO] Using clock clk…
[INFO] Setting output delay to: 2.0
[INFO] Setting input delay to: 2.0
[INFO] Setting load to: 0.033442
[INFO] Setting clock uncertainty to: 0.25
[INFO] Setting clock transition to: 0.1499999999999999944488848768742172978818416595458984375
[INFO] Setting timing derate to: 5%
[INFO] Setting RC values…
[INFO RSZ-0094] Found 58 endpoints with setup violations.
[INFO RSZ-0099] Repairing 58 out of 58 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |    WNS   |   TNS      |  Viol  | Worst
      510 |       0 |     336 |       49 |      4 |   112 |   -8.513 |     -215.9 |     58 | monitor_out[31]
      520 |       0 |     341 |       52 |      4 |   116 |   -8.515 |     -216.6 |     58 | monitor_out[31]
      527 |       0 |     332 |       50 |      4 |   107 |   -8.421 |     -215.0 |     58 | monitor_out[31]
      530 |       0 |     334 |       50 |      4 |   107 |   -8.421 |     -215.0 |     58 | monitor_out[31]
      535 |       0 |     336 |       50 |      4 |   107 |   -8.421 |     -215.0 |     58 | monitor_out[31]
      540 |       0 |     340 |       50 |      4 |   107 |   -8.421 |     -215.1 |     58 | monitor_out[31]
      545 |       0 |     342 |       50 |      4 |   108 |   -8.421 |     -214.4 |     58 | monitor_out[31]
      550 |       0 |     345 |       50 |      4 |   109 |   -8.421 |     -214.4 |     58 | monitor_out[31]
      556 |       0 |     347 |       50 |      4 |   109 |   -8.421 |     -214.4 |     58 | monitor_out[31]
      560 |       0 |     350 |       50 |      4 |   109 |   -8.421 |     -214.3 |     58 | monitor_out[31]
      567 |       0 |     352 |       50 |      4 |   109 |   -8.421 |     -214.3 |     58 | monitor_out[31]
      570 |       0 |     354 |       50 |      4 |   109 |   -8.421 |     -214.2 |     58 | monitor_out[31]
      580 |       0 |     360 |       52 |      4 |   112 |   -8.421 |     -213.8 |     58 | monitor_out[31]
      590 |       0 |     364 |       54 |      4 |   117 |   -8.442 |     -213.1 |     58 | monitor_out[31]
      593 |       0 |     360 |       55 |      4 |   112 |   -8.421 |     -213.6 |     58 | monitor_out[31]
      594 |       0 |     360 |       55 |      4 |   112 |   -8.421 |     -213.6 |     58 | monitor_out[31]
      600 |       0 |     361 |       57 |      4 |   115 |   -8.443 |     -213.5 |     58 | monitor_out[31]
      604 |       0 |     360 |       58 |      4 |   114 |   -8.421 |     -213.3 |     58 | monitor_out[31]
      610 |       0 |     363 |       58 |      4 |   116 |   -8.421 |     -213.3 |     58 | monitor_out[31]
      611 |       0 |     363 |       58 |      4 |   115 |   -8.421 |     -213.3 |     58 | monitor_out[31]
      616 |       0 |     364 |       59 |      4 |   115 |   -8.421 |     -213.3 |     58 | monitor_out[31]
      620 |       0 |     367 |       59 |      4 |   115 |   -8.421 |     -213.2 |     58 | monitor_out[31]
      627 |       0 |     369 |       61 |      4 |   115 |   -8.421 |     -212.6 |     58 | monitor_out[31]
      630 |       0 |     369 |       65 |      4 |   115 |   -8.421 |     -213.7 |     58 | monitor_out[31]
      633 |       0 |     371 |       64 |      4 |   115 |   -8.421 |     -212.7 |     58 | monitor_out[31]
      640 |       0 |     375 |       64 |      4 |   117 |   -8.442 |     -213.3 |     58 | monitor_out[31]
      640 |       0 |     374 |       64 |      4 |   117 |   -8.421 |     -212.6 |     58 | monitor_out[31]
      642 |       0 |     374 |       64 |      4 |   117 |   -8.421 |     -212.6 |     58 | monitor_out[31]
      650 |       0 |     380 |       64 |      4 |   118 |   -8.442 |     -213.8 |     58 | monitor_out[31]
      651 |       0 |     378 |       64 |      4 |   118 |   -8.421 |     -213.0 |     58 | monitor_out[31]
      655 |       0 |     380 |       64 |      4 |   118 |   -8.421 |     -213.0 |     58 | monitor_out[31]
      660 |       0 |     383 |       64 |      4 |   119 |   -8.421 |     -213.0 |     58 | monitor_out[31]
      663 |       0 |     384 |       64 |      4 |   120 |   -8.421 |     -212.7 |     58 | monitor_out[31]
      664 |       0 |     384 |       64 |      4 |   120 |   -8.421 |     -212.7 |     58 | monitor_out[31]
      670 |       0 |     388 |       66 |      4 |   120 |   -8.469 |     -213.1 |     58 | monitor_out[31]
      671 |       0 |     385 |       65 |      4 |   120 |   -8.421 |     -212.7 |     58 | monitor_out[31]
      680 |       0 |     392 |       65 |      4 |   121 |   -8.442 |     -213.8 |     58 | monitor_out[31]
      684 |       0 |     389 |       66 |      4 |   120 |   -8.421 |     -212.7 |     58 | monitor_out[31]
      686 |       0 |     389 |       66 |      4 |   120 |   -8.421 |     -212.7 |     58 | monitor_out[31]
      689 |       0 |     390 |       68 |      4 |   120 |   -8.421 |     -212.6 |     58 | monitor_out[31]
      690 |       0 |     390 |       68 |      4 |   120 |   -8.421 |     -212.6 |     58 | monitor_out[31]
      698 |       0 |     394 |       68 |      4 |   122 |   -8.421 |     -212.4 |     58 | monitor_out[31]
      700 |       0 |     395 |       68 |      4 |   122 |   -8.421 |     -212.5 |     58 | monitor_out[31]
      701 |       0 |     395 |       68 |      4 |   122 |   -8.421 |     -212.5 |     58 | monitor_out[31]
      706 |       0 |     397 |       68 |      4 |   122 |   -8.421 |     -212.5 |     58 | monitor_out[31]
      710 |       0 |     399 |       68 |      4 |   123 |   -8.421 |     -211.9 |     58 | monitor_out[31]
      720 |       0 |     404 |       72 |      4 |   126 |   -8.421 |     -211.3 |     58 | monitor_out[31]
      730 |       0 |     411 |       74 |      4 |   128 |   -8.548 |     -216.1 |     58 | monitor_out[31]
      740 |       0 |     418 |       76 |      4 |   130 |   -8.548 |     -216.3 |     58 | monitor_out[31]
      750 |       0 |     421 |       84 |      4 |   133 |   -8.547 |     -216.3 |     58 | monitor_out[31]
      760 |       0 |     427 |       88 |      4 |   135 |   -8.472 |     -212.8 |     58 | monitor_out[31]
      770 |       0 |     433 |       90 |      4 |   138 |   -8.472 |     -212.5 |     58 | monitor_out[31]
      771 |       0 |     406 |       82 |      4 |   127 |   -8.421 |     -211.3 |     58 | monitor_out[31]
      780 |       0 |     414 |       82 |      4 |   127 |   -8.548 |     -216.2 |     58 | monitor_out[31]
      790 |       0 |     419 |       90 |      4 |   128 |   -8.473 |     -213.6 |     58 | monitor_out[31]
      800 |       0 |     425 |       92 |      4 |   131 |   -8.421 |     -210.8 |     58 | monitor_out[31]
      810 |       0 |     431 |       92 |      4 |   135 |   -8.421 |     -210.2 |     58 | monitor_out[31]
      811 |       0 |     430 |       92 |      4 |   134 |   -8.421 |     -210.1 |     58 | monitor_out[31]
      813 |       0 |     430 |       92 |      4 |   134 |   -8.421 |     -210.1 |     58 | monitor_out[31]
      820 |       0 |     435 |       94 |      4 |   134 |   -8.421 |     -210.6 |     58 | monitor_out[31]
      830 |       0 |     439 |       98 |      5 |   137 |   -8.421 |     -210.7 |     58 | monitor_out[31]
      840 |       0 |     440 |      114 |      5 |   138 |   -8.421 |     -215.4 |     58 | monitor_out[31]
      850 |       0 |     443 |      128 |      5 |   138 |   -8.421 |     -220.7 |     58 | monitor_out[31]
      860 |       0 |     451 |      128 |      5 |   140 |   -8.491 |     -223.1 |     58 | monitor_out[31]
      870 |       0 |     456 |      131 |      5 |   144 |   -8.428 |     -220.8 |     58 | monitor_out[31]
      873 |       0 |     449 |      129 |      5 |   139 |   -8.421 |     -220.2 |     58 | monitor_out[31]
      875 |       0 |     449 |      129 |      5 |   139 |   -8.421 |     -220.2 |     58 | monitor_out[31]
      880 |       0 |     452 |      129 |      5 |   140 |   -8.421 |     -220.1 |     58 | monitor_out[31]
      890 |       0 |     459 |      134 |      5 |   141 |   -8.421 |     -221.1 |     58 | monitor_out[31]
      900 |       0 |     468 |      136 |      5 |   141 |   -8.421 |     -220.4 |     58 | monitor_out[31]
      905 |       0 |     469 |      136 |      5 |   141 |   -8.421 |     -220.3 |     58 | monitor_out[31]
      908 |       0 |     469 |      136 |      5 |   141 |   -8.421 |     -220.3 |     58 | monitor_out[31]
      910 |       0 |     470 |      136 |      5 |   141 |   -8.442 |     -221.0 |     58 | monitor_out[31]
      910 |       0 |     469 |      136 |      5 |   141 |   -8.421 |     -220.3 |     58 | monitor_out[31]
      920 |       0 |     474 |      138 |      5 |   144 |   -8.421 |     -220.2 |     58 | monitor_out[31]
      930 |       0 |     481 |      142 |      6 |   144 |   -8.421 |     -220.5 |     58 | monitor_out[31]
      940 |       0 |     489 |      146 |      6 |   144 |   -8.421 |     -220.8 |     58 | monitor_out[31]
      950 |       0 |     496 |      152 |      6 |   144 |   -8.421 |     -221.4 |     58 | monitor_out[31]
      960 |       0 |     504 |      156 |      6 |   144 |   -8.421 |     -221.7 |     58 | monitor_out[31]
      966 |       0 |     495 |      148 |      5 |   141 |   -8.421 |     -220.3 |     58 | monitor_out[31]
      968 |       0 |     495 |      148 |      5 |   141 |   -8.421 |     -220.3 |     58 | monitor_out[31]
      970 |       0 |     496 |      148 |      5 |   141 |   -8.421 |     -220.3 |     58 | monitor_out[31]
      980 |       0 |     503 |      152 |      5 |   142 |   -8.421 |     -221.2 |     58 | monitor_out[31]
      990 |       0 |     509 |      156 |      6 |   143 |   -8.421 |     -220.7 |     58 | monitor_out[31]
     1000 |       0 |     514 |      160 |      6 |   146 |   -8.429 |     -221.0 |     58 | monitor_out[31]
     1010 |       0 |     521 |      166 |      6 |   146 |   -8.429 |     -220.8 |     58 | monitor_out[31]
     1020 |       0 |     527 |      174 |      6 |   146 |   -8.429 |     -221.1 |     58 | monitor_out[31]
     1030 |       0 |     534 |      180 |      6 |   146 |   -8.429 |     -220.8 |     58 | monitor_out[31]
     1036 |       0 |     511 |      168 |      6 |   142 |   -8.421 |     -220.2 |     58 | monitor_out[31]
     1038 |       0 |     511 |      168 |      6 |   142 |   -8.421 |     -220.2 |     58 | monitor_out[31]
     1040 |       0 |     512 |      168 |      6 |   142 |   -8.424 |     -220.8 |     58 | monitor_out[31]
     1044 |       0 |     512 |      169 |      6 |   142 |   -8.421 |     -220.2 |     58 | monitor_out[31]
     1050 |       0 |     516 |      169 |      6 |   143 |   -8.421 |     -220.2 |     58 | monitor_out[31]
     1053 |       0 |     518 |      169 |      6 |   143 |   -8.421 |     -219.9 |     58 | monitor_out[31]
     1057 |       0 |     520 |      169 |      6 |   143 |   -8.421 |     -219.5 |     58 | monitor_out[31]
     1060 |       0 |     521 |      171 |      6 |   143 |   -8.421 |     -219.5 |     58 | monitor_out[31]
     1070 |       0 |     527 |      177 |      6 |   144 |   -8.421 |     -219.1 |     58 | monitor_out[31]
     1079 |       0 |     524 |      178 |      6 |   143 |   -8.421 |     -219.0 |     57 | monitor_out[31]
     1080 |       0 |     524 |      178 |      6 |   143 |   -8.421 |     -219.0 |     57 | monitor_out[31]
     1086 |       0 |     529 |      180 |      6 |   143 |   -8.421 |     -218.7 |     55 | monitor_out[31]
     1087 |       0 |     529 |      180 |      6 |   143 |   -8.421 |     -218.7 |     54 | monitor_out[31]
     1088 |       0 |     529 |      180 |      6 |   143 |   -8.421 |     -218.7 |     53 | monitor_out[31]
     1090 |       0 |     530 |      180 |      6 |   143 |   -8.421 |     -218.5 |     53 | monitor_out[31]
     1096 |       0 |     534 |      182 |      6 |   144 |   -8.421 |     -218.1 |     51 | monitor_out[31]
     1100 |       0 |     535 |      182 |      6 |   146 |   -8.421 |     -217.8 |     51 | monitor_out[31]
     1101 |       0 |     536 |      182 |      6 |   146 |   -8.421 |     -217.8 |     49 | monitor_out[31]
     1105 |       0 |     539 |      182 |      6 |   146 |   -8.421 |     -217.8 |     47 | monitor_out[31]
     1106 |       0 |     539 |      182 |      6 |   146 |   -8.421 |     -217.8 |     46 | monitor_out[31]
     1110 |       0 |     542 |      182 |      6 |   146 |   -8.421 |     -217.6 |     45 | monitor_out[31]
     1110 |       0 |     542 |      182 |      6 |   146 |   -8.421 |     -217.6 |     44 | monitor_out[31]
     1111 |       0 |     542 |      182 |      6 |   146 |   -8.421 |     -217.6 |     43 | monitor_out[31]
     1112 |       0 |     542 |      182 |      6 |   146 |   -8.421 |     -217.6 |     42 | monitor_out[31]
    1113* |       0 |     542 |      182 |      6 |   146 |   -8.421 |     -217.6 |     49 | monitor_out[31]
    1117* |       0 |     545 |      182 |      6 |   146 |   -8.421 |     -217.6 |     49 | monitor_out[31]
    1118* |       0 |     545 |      182 |      6 |   146 |   -8.421 |     -217.6 |     49 | monitor_out[31]
    1119* |       0 |     545 |      182 |      6 |   146 |   -8.421 |     -217.6 |     49 | monitor_out[31]
    1120* |       0 |     545 |      182 |      6 |   146 |   -8.421 |     -217.6 |     49 | monitor_out[31]
    1121* |       0 |     546 |      182 |      6 |   146 |   -8.421 |     -217.5 |     49 | monitor_out[31]
    1122* |       0 |     546 |      182 |      6 |   146 |   -8.421 |     -217.5 |     49 | monitor_out[31]
    1130* |       0 |     553 |      182 |      6 |   146 |   -8.421 |     -214.9 |     49 | monitor_out[31]
    1132* |       0 |     556 |      182 |      6 |   146 |   -8.421 |     -213.7 |     49 | monitor_out[31]
    1133* |       0 |     556 |      182 |      6 |   146 |   -8.421 |     -213.7 |     49 | monitor_out[31]
    1134* |       0 |     556 |      182 |      6 |   146 |   -8.421 |     -213.7 |     49 | monitor_out[31]
    1135* |       0 |     556 |      182 |      6 |   146 |   -8.421 |     -213.7 |     49 | monitor_out[31]
    1136* |       0 |     556 |      182 |      6 |   146 |   -8.421 |     -213.7 |     49 | monitor_out[31]
    1137* |       0 |     556 |      182 |      6 |   146 |   -8.421 |     -213.7 |     49 | monitor_out[31]
    1138* |       0 |     556 |      182 |      6 |   146 |   -8.421 |     -213.7 |     49 | monitor_out[31]
    1139* |       0 |     556 |      182 |      6 |   146 |   -8.421 |     -213.7 |     49 | monitor_out[31]
    1140* |       0 |     556 |      182 |      6 |   146 |   -8.421 |     -213.7 |     49 | monitor_out[31]
    1140* |       0 |     556 |      182 |      6 |   146 |   -8.421 |     -213.7 |     49 | monitor_out[31]
    1141* |       0 |     556 |      182 |      6 |   146 |   -8.421 |     -213.7 |     49 | monitor_out[31]
    1142* |       0 |     556 |      182 |      6 |   146 |   -8.421 |     -213.7 |     49 | monitor_out[31]
    1143* |       0 |     556 |      182 |      6 |   146 |   -8.421 |     -213.7 |     49 | monitor_out[31]
    1144* |       0 |     556 |      182 |      6 |   146 |   -8.421 |     -213.7 |     49 | monitor_out[31]
    1145* |       0 |     556 |      182 |      6 |   146 |   -8.421 |     -213.7 |     49 | monitor_out[31]
    1146* |       0 |     556 |      182 |      6 |   146 |   -8.421 |     -213.7 |     49 | monitor_out[31]
    1147* |       0 |     556 |      182 |      6 |   146 |   -8.421 |     -213.7 |     49 | monitor_out[31]
    1148* |       0 |     556 |      182 |      6 |   146 |   -8.421 |     -213.7 |     49 | monitor_out[31]
    1149* |       0 |     556 |      182 |      6 |   146 |   -8.421 |     -213.7 |     49 | monitor_out[31]
    1150* |       0 |     556 |      182 |      6 |   146 |   -8.421 |     -213.7 |     49 | monitor_out[31]
    1159* |       0 |     566 |      182 |      6 |   146 |   -8.421 |     -211.2 |     49 | monitor_out[31]
    1160* |       0 |     566 |      182 |      6 |   146 |   -8.421 |     -211.2 |     49 | monitor_out[31]
    1160* |       0 |     566 |      182 |      6 |   146 |   -8.421 |     -211.2 |     49 | monitor_out[31]
    1161* |       0 |     566 |      182 |      6 |   146 |   -8.421 |     -211.2 |     49 | monitor_out[31]
    1162* |       0 |     566 |      182 |      6 |   146 |   -8.421 |     -211.2 |     49 | monitor_out[31]
    1163* |       0 |     566 |      182 |      6 |   146 |   -8.421 |     -211.2 |     49 | monitor_out[31]
    1164* |       0 |     566 |      182 |      6 |   146 |   -8.421 |     -211.2 |     49 | monitor_out[31]
    1165* |       0 |     566 |      182 |      6 |   146 |   -8.421 |     -211.2 |     49 | monitor_out[31]
    1168* |       0 |     568 |      182 |      6 |   146 |   -8.421 |     -211.2 |     49 | monitor_out[31]
    1169* |       0 |     568 |      182 |      6 |   146 |   -8.421 |     -211.2 |     49 | monitor_out[31]
    1170* |       0 |     568 |      182 |      6 |   146 |   -8.421 |     -211.2 |     49 | monitor_out[31]
    1170* |       0 |     568 |      182 |      6 |   146 |   -8.421 |     -211.2 |     49 | monitor_out[31]
    1171* |       0 |     568 |      182 |      6 |   146 |   -8.421 |     -211.2 |     49 | monitor_out[31]
    1176* |       0 |     572 |      182 |      6 |   146 |   -8.421 |     -210.8 |     49 | monitor_out[31]
    1178* |       0 |     573 |      182 |      6 |   146 |   -8.421 |     -210.8 |     49 | monitor_out[31]
    1179* |       0 |     573 |      182 |      6 |   146 |   -8.421 |     -210.8 |     49 | monitor_out[31]
    1180* |       0 |     573 |      182 |      6 |   146 |   -8.421 |     -210.8 |     49 | monitor_out[31]
    1180* |       0 |     573 |      182 |      6 |   146 |   -8.421 |     -210.8 |     49 | monitor_out[31]
    1181* |       0 |     573 |      182 |      6 |   146 |   -8.421 |     -210.8 |     49 | monitor_out[31]
    1182* |       0 |     573 |      182 |      6 |   146 |   -8.421 |     -210.8 |     49 | monitor_out[31]
    1183* |       0 |     573 |      182 |      6 |   146 |   -8.421 |     -210.8 |     49 | monitor_out[31]
    1184* |       0 |     573 |      182 |      6 |   146 |   -8.421 |     -210.8 |     49 | monitor_out[31]
    1185* |       0 |     573 |      182 |      6 |   146 |   -8.421 |     -210.8 |     49 | monitor_out[31]
    1186* |       0 |     573 |      182 |      6 |   146 |   -8.421 |     -210.8 |     49 | monitor_out[31]
    1187* |       0 |     573 |      182 |      6 |   146 |   -8.421 |     -210.8 |     49 | monitor_out[31]
    1188* |       0 |     573 |      182 |      6 |   146 |   -8.421 |     -210.8 |     49 | monitor_out[31]
    1189* |       0 |     573 |      182 |      6 |   146 |   -8.421 |     -210.8 |     49 | monitor_out[31]
    1190* |       0 |     573 |      182 |      6 |   146 |   -8.421 |     -210.8 |     49 | monitor_out[31]
    1190* |       0 |     573 |      182 |      6 |   146 |   -8.421 |     -210.8 |     49 | monitor_out[31]
    final |       0 |     573 |      182 |      6 |   146 |   -8.421 |     -210.8 |     49 | monitor_out[31]
---------------------------------------------------------------------------------------------------
[INFO RSZ-0040] Inserted 64 buffers.
[INFO RSZ-0041] Resized 573 instances.
[INFO RSZ-0043] Swapped pins on 146 instances.
[INFO RSZ-0049] Cloned 6 instances.
[WARNING RSZ-0062] Unable to repair all setup violations.
[INFO RSZ-0046] Found 34 endpoints with hold violations.
Iteration | Resized | Buffers | Cloned Gates |   WNS   |   TNS   | Endpoint
---------------------------------------------------------------------------
        0 |       0 |       0 |            0 |   0.055 |   0.000 | _6268_/D
    final |       0 |      34 |            0 |   0.103 |   0.000 | _6235_/D
---------------------------------------------------------------------------
[INFO RSZ-0032] Inserted 34 hold buffers.
Placement Analysis
---------------------------------
total displacement       1541.7 u
average displacement        0.3 u
max displacement           10.7 u
original HPWL           93598.3 u
legalized HPWL          96974.8 u
delta HPWL                    4 %

